schema: *key, $text

- Mod details
Mod.Description, "Геймплейные улучшения, поддерживающие ролевые аспекты и реализм в Daggerfall Unity"

- Settings
Settings.Modules.Name, "Модули"
Settings.Modules.Description, "Включить или выключить дополнительные модули, содержащиеся в этом моде, в зависимости от личных предпочтений и стиля игры"
Settings.Modules.bedSleeping.Name, "Спать в постели"
Settings.Modules.bedSleeping.Description, "Позволяет инициировать сон, кликнув по кровати"
Settings.Modules.advancedArchery.Name, "Продвинутый лук"
Settings.Modules.advancedArchery.Description, "Изменяет точность попадания и урон, наносимый стрелами, в зависимости от длительности натяжения"
Settings.Modules.encumbranceEffects.Name, "Эффекты перегруза"
Settings.Modules.encumbranceEffects.Description, "Накладывает штрафы за скорость и усталость при переносе слишком большого веса"
Settings.Modules.bandaging.Name, "Перевязка"
Settings.Modules.bandaging.Description, "Позволяет использовать бинты для лечения, основываясь на навыке медицины"
Settings.Modules.shipPorts.Name, "Корабль в порту"
Settings.Modules.shipPorts.Description, "Игрок может сесть на свой корабль только в портовом городе"
Settings.Modules.underworldExpulsion.Name, "Изгнание из преступников"
Settings.Modules.underworldExpulsion.Description, "Позволяет гильдиям преступного мира изгонять членов за плохую работу... с пристрастием"
Settings.Modules.climbingRestriction.Name, "Ограничение карабканья"
Settings.Modules.climbingRestriction.Description, "Предотвращает карабканье с оружием наизготовку"
Settings.Modules.weaponSpeed.Name, "Скорость оружия"
Settings.Modules.weaponSpeed.Description, "Уменьшает DPS оружия для персонажей с высоким атрибутом скорости"
Settings.Modules.weaponMaterials.Name, "Оружейные материалы"
Settings.Modules.weaponMaterials.Description, "Уменьшает бонусы к урону от материалов оружия, чтобы навык оставался ключевым фактором"
Settings.Modules.equipDamage.Name, "Повреждение снаряжения"
Settings.Modules.equipDamage.Description, "Увеличивает урон снаряжения пропорционально его максимальному состоянию"
Settings.Modules.enemyAppearance.Name, "Внешность врагов"
Settings.Modules.enemyAppearance.Description, "Изменение внешнего вида врагов в зависимости от класса"
Settings.Modules.purificationPotion.Name, "Oчищающее зелье" Очищение
Settings.Modules.purificationPotion.Description, "Измените зелье Очищение, чтобы оно лечило яд, а не давало невидимость"
Settings.Modules.autoExtinguishLight.Name, "Автопогашение света"
Settings.Modules.autoExtinguishLight.Description, "Автоматически гасите все источники света, когда вы выходите из подземелья"
Settings.Modules.classicStrengthDamageBonus.Name, "Классический бонус к урону"
Settings.Modules.classicStrengthDamageBonus.Description, "Используйте классический отображаемый бонус к урону силы (половина) вместо классического внутреннего значения"
Settings.Modules.variantNpcs.Name, "Варианты NPC"
Settings.Modules.variantNpcs.Description, "Включите различные спрайты NPC в магазинах и тавернах"
Settings.Modules.variantResidents.Name, "Варианты жителей"
Settings.Modules.variantResidents.Description, "В результате 80% домов будут заселены горожанами, которых вы видите на улицах, а не случайными искателями приключений"
Settings.Modules.loanAmountPerLevel.Name, "Сумма займа за уровень"
Settings.Modules.loanAmountPerLevel.Description, "Устанавливает максимальную сумму на уровень, которую можно взять в долг у банков"
Settings.EnhancedRiding.Name, "Улучшенная верховая езда"
Settings.EnhancedRiding.Description, "Расширенные настройки реализации верховой езды"
Settings.EnhancedRiding.enhancedRiding.Name, "Улучшенная езда"
Settings.EnhancedRiding.enhancedRiding.Description, "Включите улучшенный модуль верховой езды, улучшая представление и позволяя скакать галопом"
Settings.EnhancedRiding.RealisticMovement.Name, "Реалистичное движение"
Settings.EnhancedRiding.RealisticMovement.Description, "Делает движение лошади и телеги назад и в сторону более реалистичным и ограниченным"
Settings.EnhancedRiding.followTerrainEnabled.Name, "Следование рельефу вкл."
Settings.EnhancedRiding.followTerrainEnabled.Description, "Включает функцию следования за рельефом во время езды"
Settings.EnhancedRiding.followTerrainSoftenFactor.Name, "Коэффициент смягчения рельефа"
Settings.EnhancedRiding.followTerrainSoftenFactor.Description, "Коэффициент для смягчения градиента рельефа. (0=нет, 32=максимальное смягчение)"
Settings.RefinedTraining.Name, "Улучшенное обучение"
Settings.RefinedTraining.Description, "Усовершенствован сервис обучения в гильдиях, чтобы навык выбирался первым"
Settings.RefinedTraining.refinedTraining.Name, "Улучшенное обучение вкл."
Settings.RefinedTraining.refinedTraining.Description, "Включите усовершенствованный сервис обучения в гильдиях"
Settings.RefinedTraining.variableTrainingPrice.Name, "Изменяемая цена обучения"
Settings.RefinedTraining.variableTrainingPrice.Description, "Цена обучения зависит от уровня мастерства, а также от уровня игрока"
Settings.RefinedTraining.intensiveTraining.Name, "Интенсивное обучение"
Settings.RefinedTraining.intensiveTraining.Description, "Возможность интенсивного обучения по одному занятию в день в течение пяти дней за дополнительную плату"

- Presets
Presets.DefaultSettings.Title, "Значения по-умолчанию"
Presets.DefaultSettings.Description, "Настройки мода по-умолчанию"

